NameSpace	Name	QualifiedName	NumberOfMethods	LinesOfCode	DepthOfInheritance	CyclomaticComplexity	ClassCoupling	AnonymousInnerClassLength	ClassFanOutComplexity	ClassDataAbstractionCoupling	Toxicity
System.Data.Entity.Core.Metadata.Edm	MetadataArtifactLoader	System.Data.Entity.Core.Metadata.Edm.MetadataArtifactLoader	26	131	1	62	30	0	0	0	1.791759469
System.Data.Entity.Core.Metadata.Edm	MetadataOptimization	System.Data.Entity.Core.Metadata.Edm.MetadataOptimization	14	158	1	57	36	0	0	0	1.791759469
System.Data.Entity.Core.Objects.Internal	SerializableImplementor	System.Data.Entity.Core.Objects.Internal.SerializableImplementor	5	54	1	24	30	0	0	0	1.791759469
System.Data.Entity.Core.Query.PlanCompiler	ITreeGenerator.IsOfFilter	System.Data.Entity.Core.Query.PlanCompiler.ITreeGenerator.IsOfFilter	7	50	1	20	8	0	0	0	1.791759469
System.Data.Entity.Core.Query.PlanCompiler	TypeInfo	System.Data.Entity.Core.Query.PlanCompiler.TypeInfo	26	47	1	30	16	0	0	0	1.791759469
System.Data.Entity.Infrastructure	DbQuery<TResult>	System.Data.Entity.Infrastructure.DbQuery<TResult>	22	43	1	30	33	0	0	0	1.791759469
System.Data.Entity.Internal	DbSetDiscoveryService	System.Data.Entity.Internal.DbSetDiscoveryService	8	61	1	37	36	0	0	0	1.791759469
System.Data.Entity.Internal	InternalPropertyEntry	System.Data.Entity.Internal.InternalPropertyEntry	26	92	2	62	19	0	0	0	1.791759469
System.Data.Entity.ModelConfiguration.Configuration.Mapping	AssociationMappingOperations	System.Data.Entity.ModelConfiguration.Configuration.Mapping.AssociationMappingOperations	2	51	1	20	29	0	0	0	1.791759469
System.Data.Entity.Core	EntityException	System.Data.Entity.Core.EntityException	4	4	4	4	5	0	0	0	1.609437912
System.Data.Entity.Core	InvalidCommandTreeException	System.Data.Entity.Core.InvalidCommandTreeException	4	4	4	4	5	0	0	0	1.609437912
System.Data.Entity.Core	ObjectNotFoundException	System.Data.Entity.Core.ObjectNotFoundException	4	4	4	4	4	0	0	0	1.609437912
System.Data.Entity.Core	UpdateException	System.Data.Entity.Core.UpdateException	6	8	4	6	8	0	0	0	1.609437912
System.Data.Entity.Core.Common	DbXmlEnabledProviderManifest.EmptyItemCollection	System.Data.Entity.Core.Common.DbXmlEnabledProviderManifest.EmptyItemCollection	1	1	4	1	1	0	0	0	1.609437912
System.Data.Entity.Core.Common.CommandTrees.Internal	DbExpressionValidator	System.Data.Entity.Core.Common.CommandTrees.Internal.DbExpressionValidator	15	69	4	39	31	0	0	0	1.609437912
System.Data.Entity.Core.Common.CommandTrees.Internal	ParameterRetriever	System.Data.Entity.Core.Common.CommandTrees.Internal.ParameterRetriever	3	9	4	3	8	0	0	0	1.609437912
System.Data.Entity.Core.Common.CommandTrees.Internal	PatternMatchRuleProcessor	System.Data.Entity.Core.Common.CommandTrees.Internal.PatternMatchRuleProcessor	4	14	4	6	11	0	0	0	1.609437912
System.Data.Entity.Core.Common.Utils.Boolean	KnowledgeBase<T_Identifier>.Equivalence	System.Data.Entity.Core.Common.Utils.Boolean.KnowledgeBase<T_Identifier>.Equivalence	4	7	4	4	4	0	0	0	1.609437912
System.Data.Entity.Core.Common.Utils.Boolean	KnowledgeBase<T_Identifier>.Implication	System.Data.Entity.Core.Common.Utils.Boolean.KnowledgeBase<T_Identifier>.Implication	4	7	4	4	3	0	0	0	1.609437912
System.Data.Entity.Core.Common.Utils.Boolean	"NegationPusher.NonNegatedDomainConstraintTreeVisitor<T_Variable, T_Element>"	"System.Data.Entity.Core.Common.Utils.Boolean.NegationPusher.NonNegatedDomainConstraintTreeVisitor<T_Variable, T_Element>"	3	4	4	3	5	0	0	0	1.609437912
System.Data.Entity.Core.Mapping	FunctionImportMappingComposable.FunctionViewOpCopier	System.Data.Entity.Core.Mapping.FunctionImportMappingComposable.FunctionViewOpCopier	3	8	4	5	7	0	0	0	1.609437912
System.Data.Entity.Core.Mapping	IsNullConditionMapping	System.Data.Entity.Core.Mapping.IsNullConditionMapping	2	2	4	2	4	0	0	0	1.609437912
System.Data.Entity.Core.Mapping	MappingItemCollection	System.Data.Entity.Core.Mapping.MappingItemCollection	7	10	4	7	6	0	0	0	1.609437912
System.Data.Entity.Core.Mapping	ObjectTypeMapping	System.Data.Entity.Core.Mapping.ObjectTypeMapping	12	41	4	20	18	0	0	0	1.609437912
System.Data.Entity.Core.Mapping	ValueConditionMapping	System.Data.Entity.Core.Mapping.ValueConditionMapping	2	2	4	2	4	0	0	0	1.609437912
System.Data.Entity.Core.Mapping.Update.Internal	Propagator	System.Data.Entity.Core.Mapping.Update.Internal.Propagator	13	75	3	20	35	0	0	0	1.609437912
System.Data.Entity.Core.Mapping.Update.Internal	PropagatorResult.ServerGenKeyValue	System.Data.Entity.Core.Mapping.Update.Internal.PropagatorResult.ServerGenKeyValue	5	11	4	6	5	0	0	0	1.609437912
System.Data.Entity.Core.Mapping.ViewGeneration.QueryRewriting	RewritingProcessor<T_Tile>	System.Data.Entity.Core.Mapping.ViewGeneration.QueryRewriting.RewritingProcessor<T_Tile>	25	98	2	35	14	0	0	0	1.609437912
System.Data.Entity.Core.Mapping.ViewGeneration.Structures	CellIdBoolean	System.Data.Entity.Core.Mapping.ViewGeneration.Structures.CellIdBoolean	11	31	4	12	11	0	0	0	1.609437912
System.Data.Entity.Core.Mapping.ViewGeneration.Structures	RoleBoolean	System.Data.Entity.Core.Mapping.ViewGeneration.Structures.RoleBoolean	11	39	4	15	13	0	0	0	1.609437912
System.Data.Entity.Core.Metadata.Edm	AssociationEndMember	System.Data.Entity.Core.Metadata.Edm.AssociationEndMember	6	15	4	7	17	0	0	0	1.609437912
System.Data.Entity.Core.Metadata.Edm	AssociationSet	System.Data.Entity.Core.Metadata.Edm.AssociationSet	14	60	4	32	27	0	0	0	1.609437912
System.Data.Entity.Core.Metadata.Edm	CollectionType	System.Data.Entity.Core.Metadata.Edm.CollectionType	7	21	4	10	8	0	0	0	1.609437912
System.Data.Entity.Core.Metadata.Edm	EdmModelRuleSet.V1RuleSet	System.Data.Entity.Core.Metadata.Edm.EdmModelRuleSet.V1RuleSet	1	2	4	1	5	0	0	0	1.609437912
System.Data.Entity.Core.Metadata.Edm	EdmModelRuleSet.V2RuleSet	System.Data.Entity.Core.Metadata.Edm.EdmModelRuleSet.V2RuleSet	1	2	4	1	5	0	0	0	1.609437912
System.Data.Entity.Core.Metadata.Edm	RefType	System.Data.Entity.Core.Metadata.Edm.RefType	7	17	4	8	9	0	0	0	1.609437912
System.Data.Entity.Core.Metadata.Edm	SimpleType	System.Data.Entity.Core.Metadata.Edm.SimpleType	2	2	4	2	2	0	0	0	1.609437912
System.Data.Entity.Core.Metadata.Edm	StructuralType	System.Data.Entity.Core.Metadata.Edm.StructuralType	11	37	4	20	15	0	0	0	1.609437912
System.Data.Entity.Core.Objects	ObjectStateEntryDbUpdatableDataRecord	System.Data.Entity.Core.Objects.ObjectStateEntryDbUpdatableDataRecord	4	22	4	12	11	0	0	0	1.609437912
System.Data.Entity.Core.Objects	ObjectStateEntryOriginalDbUpdatableDataRecord_Internal	System.Data.Entity.Core.Objects.ObjectStateEntryOriginalDbUpdatableDataRecord_Internal	3	14	4	6	8	0	0	0	1.609437912
System.Data.Entity.Core.Objects	ObjectViewFactory	System.Data.Entity.Core.Objects.ObjectViewFactory	6	89	1	27	35	0	0	0	1.609437912
System.Data.Entity.Core.Objects.ELinq	ExpressionConverter.AddTranslator	System.Data.Entity.Core.Objects.ELinq.ExpressionConverter.AddTranslator	3	7	4	4	8	0	0	0	1.609437912
System.Data.Entity.Core.Objects.ELinq	ExpressionConverter.AndAlsoTranslator	System.Data.Entity.Core.Objects.ELinq.ExpressionConverter.AndAlsoTranslator	2	3	4	2	6	0	0	0	1.609437912
System.Data.Entity.Core.Objects.ELinq	ExpressionConverter.AndTranslator	System.Data.Entity.Core.Objects.ELinq.ExpressionConverter.AndTranslator	2	3	4	2	5	0	0	0	1.609437912
System.Data.Entity.Core.Objects.ELinq	ExpressionConverter.AsTranslator	System.Data.Entity.Core.Objects.ELinq.ExpressionConverter.AsTranslator	2	5	4	2	8	0	0	0	1.609437912
System.Data.Entity.Core.Objects.ELinq	ExpressionConverter.CoalesceTranslator	System.Data.Entity.Core.Objects.ELinq.ExpressionConverter.CoalesceTranslator	2	9	4	2	8	0	0	0	1.609437912
System.Data.Entity.Core.Objects.ELinq	ExpressionConverter.ConvertTranslator	System.Data.Entity.Core.Objects.ELinq.ExpressionConverter.ConvertTranslator	2	6	4	2	7	0	0	0	1.609437912
System.Data.Entity.Core.Objects.ELinq	ExpressionConverter.DivideTranslator	System.Data.Entity.Core.Objects.ELinq.ExpressionConverter.DivideTranslator	2	3	4	2	6	0	0	0	1.609437912
System.Data.Entity.Core.Objects.ELinq	ExpressionConverter.ExclusiveOrTranslator	System.Data.Entity.Core.Objects.ELinq.ExpressionConverter.ExclusiveOrTranslator	2	6	4	2	5	0	0	0	1.609437912
System.Data.Entity.Core.Objects.ELinq	ExpressionConverter.GreaterThanOrEqualsTranslator	System.Data.Entity.Core.Objects.ELinq.ExpressionConverter.GreaterThanOrEqualsTranslator	2	3	4	2	6	0	0	0	1.609437912
System.Data.Entity.Core.Objects.ELinq	ExpressionConverter.GreaterThanTranslator	System.Data.Entity.Core.Objects.ELinq.ExpressionConverter.GreaterThanTranslator	2	3	4	2	6	0	0	0	1.609437912
System.Data.Entity.Core.Objects.ELinq	ExpressionConverter.LessThanOrEqualsTranslator	System.Data.Entity.Core.Objects.ELinq.ExpressionConverter.LessThanOrEqualsTranslator	2	3	4	2	6	0	0	0	1.609437912
System.Data.Entity.Core.Objects.ELinq	ExpressionConverter.LessThanTranslator	System.Data.Entity.Core.Objects.ELinq.ExpressionConverter.LessThanTranslator	2	3	4	2	6	0	0	0	1.609437912
System.Data.Entity.Core.Objects.ELinq	ExpressionConverter.MethodCallTranslator.CountTranslator	System.Data.Entity.Core.Objects.ELinq.ExpressionConverter.MethodCallTranslator.CountTranslator	1	1	4	1	2	0	0	0	1.609437912
System.Data.Entity.Core.Objects.ELinq	ExpressionConverter.MethodCallTranslator.FirstOrDefaultPredicateTranslator	System.Data.Entity.Core.Objects.ELinq.ExpressionConverter.MethodCallTranslator.FirstOrDefaultPredicateTranslator	1	1	4	1	2	0	0	0	1.609437912
System.Data.Entity.Core.Objects.ELinq	ExpressionConverter.MethodCallTranslator.FirstOrDefaultTranslator	System.Data.Entity.Core.Objects.ELinq.ExpressionConverter.MethodCallTranslator.FirstOrDefaultTranslator	1	1	4	1	2	0	0	0	1.609437912
System.Data.Entity.Core.Objects.ELinq	ExpressionConverter.MethodCallTranslator.FirstPredicateTranslator	System.Data.Entity.Core.Objects.ELinq.ExpressionConverter.MethodCallTranslator.FirstPredicateTranslator	2	5	4	3	7	0	0	0	1.609437912
System.Data.Entity.Core.Objects.ELinq	ExpressionConverter.MethodCallTranslator.FirstTranslator	System.Data.Entity.Core.Objects.ELinq.ExpressionConverter.MethodCallTranslator.FirstTranslator	2	5	4	3	7	0	0	0	1.609437912
System.Data.Entity.Core.Objects.ELinq	ExpressionConverter.MethodCallTranslator.GroupJoinTranslator	System.Data.Entity.Core.Objects.ELinq.ExpressionConverter.MethodCallTranslator.GroupJoinTranslator	3	57	2	15	35	0	0	0	1.609437912
System.Data.Entity.Core.Objects.ELinq	ExpressionConverter.MethodCallTranslator.LongCountTranslator	System.Data.Entity.Core.Objects.ELinq.ExpressionConverter.MethodCallTranslator.LongCountTranslator	1	1	4	1	2	0	0	0	1.609437912
System.Data.Entity.Core.Objects.ELinq	ExpressionConverter.MethodCallTranslator.ObjectQueryBuilderDistinctTranslator	System.Data.Entity.Core.Objects.ELinq.ExpressionConverter.MethodCallTranslator.ObjectQueryBuilderDistinctTranslator	1	1	4	1	1	0	0	0	1.609437912
System.Data.Entity.Core.Objects.ELinq	ExpressionConverter.MethodCallTranslator.ObjectQueryBuilderExceptTranslator	System.Data.Entity.Core.Objects.ELinq.ExpressionConverter.MethodCallTranslator.ObjectQueryBuilderExceptTranslator	1	1	4	1	1	0	0	0	1.609437912
System.Data.Entity.Core.Objects.ELinq	ExpressionConverter.MethodCallTranslator.ObjectQueryBuilderFirstTranslator	System.Data.Entity.Core.Objects.ELinq.ExpressionConverter.MethodCallTranslator.ObjectQueryBuilderFirstTranslator	1	1	4	1	1	0	0	0	1.609437912
System.Data.Entity.Core.Objects.ELinq	ExpressionConverter.MethodCallTranslator.ObjectQueryBuilderIntersectTranslator	System.Data.Entity.Core.Objects.ELinq.ExpressionConverter.MethodCallTranslator.ObjectQueryBuilderIntersectTranslator	1	1	4	1	1	0	0	0	1.609437912
System.Data.Entity.Core.Objects.ELinq	ExpressionConverter.MethodCallTranslator.ObjectQueryBuilderOfTypeTranslator	System.Data.Entity.Core.Objects.ELinq.ExpressionConverter.MethodCallTranslator.ObjectQueryBuilderOfTypeTranslator	1	1	4	1	1	0	0	0	1.609437912
System.Data.Entity.Core.Objects.ELinq	ExpressionConverter.MethodCallTranslator.ObjectQueryBuilderToListTranslator	System.Data.Entity.Core.Objects.ELinq.ExpressionConverter.MethodCallTranslator.ObjectQueryBuilderToListTranslator	1	1	4	1	1	0	0	0	1.609437912
System.Data.Entity.Core.Objects.ELinq	ExpressionConverter.MethodCallTranslator.ObjectQueryBuilderUnionTranslator	System.Data.Entity.Core.Objects.ELinq.ExpressionConverter.MethodCallTranslator.ObjectQueryBuilderUnionTranslator	1	1	4	1	1	0	0	0	1.609437912
System.Data.Entity.Core.Objects.ELinq	ExpressionConverter.MethodCallTranslator.OrderByDescendingTranslator	System.Data.Entity.Core.Objects.ELinq.ExpressionConverter.MethodCallTranslator.OrderByDescendingTranslator	1	1	4	1	2	0	0	0	1.609437912
System.Data.Entity.Core.Objects.ELinq	ExpressionConverter.MethodCallTranslator.OrderByTranslator	System.Data.Entity.Core.Objects.ELinq.ExpressionConverter.MethodCallTranslator.OrderByTranslator	1	1	4	1	2	0	0	0	1.609437912
System.Data.Entity.Core.Objects.ELinq	ExpressionConverter.MethodCallTranslator.SinglePredicateTranslatorBase	System.Data.Entity.Core.Objects.ELinq.ExpressionConverter.MethodCallTranslator.SinglePredicateTranslatorBase	3	7	4	4	8	0	0	0	1.609437912
System.Data.Entity.Core.Objects.ELinq	ExpressionConverter.MethodCallTranslator.SingleTranslatorBase	System.Data.Entity.Core.Objects.ELinq.ExpressionConverter.MethodCallTranslator.SingleTranslatorBase	3	7	4	4	8	0	0	0	1.609437912
System.Data.Entity.Core.Objects.ELinq	ExpressionConverter.MethodCallTranslator.SkipTranslator	System.Data.Entity.Core.Objects.ELinq.ExpressionConverter.MethodCallTranslator.SkipTranslator	2	3	4	2	6	0	0	0	1.609437912
System.Data.Entity.Core.Objects.ELinq	ExpressionConverter.MethodCallTranslator.TakeTranslator	System.Data.Entity.Core.Objects.ELinq.ExpressionConverter.MethodCallTranslator.TakeTranslator	2	4	4	4	7	0	0	0	1.609437912
System.Data.Entity.Core.Objects.ELinq	ExpressionConverter.ModuloTranslator	System.Data.Entity.Core.Objects.ELinq.ExpressionConverter.ModuloTranslator	2	3	4	2	6	0	0	0	1.609437912
System.Data.Entity.Core.Objects.ELinq	ExpressionConverter.MultiplyTranslator	System.Data.Entity.Core.Objects.ELinq.ExpressionConverter.MultiplyTranslator	2	3	4	2	6	0	0	0	1.609437912
System.Data.Entity.Core.Objects.ELinq	ExpressionConverter.NegateTranslator	System.Data.Entity.Core.Objects.ELinq.ExpressionConverter.NegateTranslator	2	3	4	2	6	0	0	0	1.609437912
System.Data.Entity.Core.Objects.ELinq	ExpressionConverter.OrElseTranslator	System.Data.Entity.Core.Objects.ELinq.ExpressionConverter.OrElseTranslator	2	3	4	2	6	0	0	0	1.609437912
