Namespace,Type,CyclomaticComplexity,DepthOfInheritance,ClassCoupling,LinesOfCode,NumberOfMethods,Toxicity
System.Net.Http.Formatting.Parsers,FormUrlEncodedParser.CurrentNameValuePair,0,0,0,0,0,0
System.Net.Http.Formatting.Parsers,FormUrlEncodedParser.NameValueState,0,0,0,0,0,0
System.Web.Mvc,FormValueProvider,0,0,0,0,0,0
System.Web.Mvc,FormValueProviderFactory,0,0,0,0,0,0
System.Web.Http,FromBodyAttribute,0,0,0,0,0,0
System.Web.Razor.Generator,GeneratedCodeMapping,0,0,0,0,0,0
System.Web.Razor,GeneratorResults,0,0,0,0,0,0
Microsoft.Web.Mvc.ModelBinding,GenericModelBinderProvider,0,0,0,0,0,0
System.Web.Http,GlobalConfiguration,0,0,0,0,0,0
Microsoft.AspNet.Facebook,GlobalFacebookConfiguration,0,0,0,0,0,0
System.Web.Mvc,GlobalFilterCollection,0,0,0,0,0,0
System.Web.Mvc,GlobalFilters,0,0,0,0,0,0
Microsoft.Web.Helpers,Gravatar,0,0,0,0,0,0
Microsoft.Web.Helpers,GravatarRating,0,0,0,0,0,0
System.Web.Http.Routing.Constraints,GuidRouteConstraint,0,0,0,0,0,0
System.Web.Mvc,HandleErrorAttribute,0,0,0,0,0,0
System.Web.Mvc,HandleErrorInfo,0,0,0,0,0,0
ROOT_PROJECT_NAMESPACE.Areas.HelpPage.Controllers,HelpController,0,0,0,0,0,0
System.Web.Razor.Generator,HelperCodeGenerator,0,0,0,0,0,0
System.Web.WebPages,HelperResult,0,0,0,0,0,0
ROOT_PROJECT_NAMESPACE.Areas.HelpPage.Models,HelpPageApiModel,0,0,0,0,0,0
ROOT_PROJECT_NAMESPACE.Areas.HelpPage,HelpPageAreaRegistration,0,0,0,0,0,0
ROOT_PROJECT_NAMESPACE.Areas.HelpPage,HelpPageConfig,0,0,0,0,0,0
ROOT_PROJECT_NAMESPACE.Areas.HelpPage,HelpPageSampleKey,0,0,0,0,0,0
System.Web.Mvc,HiddenInputAttribute,0,0,0,0,0,0
Microsoft.Web.Mvc.ExpressionUtil,"Hoisted<TModel, TValue>",0,0,0,0,0,0
Microsoft.Web.Mvc.ExpressionUtil,"HoistingExpressionVisitor<TIn, TOut>",0,0,0,0,0,0
System.Web.Http,HostAuthenticationAttribute,0,0,0,0,0,0
System.Web.Http,HostAuthenticationFilter,0,0,0,0,0,0
System.Web.Http.WebHost.Routing,HostedHttpRoute,0,0,0,0,0,0
System.Web.Http.WebHost.Routing,HostedHttpRouteData,0,0,0,0,0,0
System.Web.Http.WebHost.Routing,HostedHttpVirtualPathData,0,0,0,0,0,0
System.Web.WebPages.Razor,HostingEnvironmentWrapper,0,0,0,0,0,0
System.Web.Http.SelfHost.ServiceModel,HostNameComparisonModeHelper,0,0,0,0,0,0
System.Web.WebPages.Razor.Configuration,HostSection,0,0,0,0,0,0
System.Web.Mvc,Html5DateRenderingMode,0,0,0,0,0,0
System.Web.WebPages,HtmlAttributePropertyHelper,0,0,0,0,0,0
Microsoft.Web.Mvc,HtmlButtonType,0,0,0,0,0,0
System.Web.Helpers,HtmlElement,0,0,0,0,0,0
System.Web.WebPages.Html,HtmlHelper.InputType,0,0,0,0,0,0
System.Web.Mvc,HtmlHelper<TModel>,0,0,0,0,0,0
System.Web.Razor.Parser,HtmlLanguageCharacteristics,0,0,0,0,0,0
System.Web.Razor.Tokenizer.Symbols,HtmlSymbol,0,0,0,0,0,0
System.Web.Razor.Tokenizer.Symbols,HtmlSymbolType,0,0,0,0,0,0
System.Web.Razor.Tokenizer,HtmlTokenizer,0,0,0,0,0,0
System.Web.Http.Controllers,HttpActionBinding,0,0,0,0,0,0
System.Web.Http.Tracing.Tracers,HttpActionBindingTracer,0,0,0,0,0,0
System.Web.Http.Controllers,HttpActionContext,0,0,0,0,0,0
System.Web.Http.Controllers,HttpActionContextExtensions,0,0,0,0,0,0
System.Web.Http.Controllers,HttpActionDescriptorExtensions,0,0,0,0,0,0
System.Web.Http.Filters,HttpActionExecutedContext,0,0,0,0,0,0
System.Web.Http.Tracing.Tracers,HttpActionInvokerTracer,0,0,0,0,0,0
System.Web.Http.Tracing.Tracers,HttpActionSelectorTracer,0,0,0,0,0,0
System.Web.Http.Filters,HttpAuthenticationChallengeContext,0,0,0,0,0,0
System.Web.Http.Filters,HttpAuthenticationContext,0,0,0,0,0,0
System.Web.Http.WebHost,HttpBatchContextWrapper,0,0,0,0,0,0
System.Web.Http.Batch,HttpBatchHandler,0,0,0,0,0,0
System.Web.Http.ModelBinding,HttpBindingBehavior,0,0,0,0,0,0
System.Web.Http.ModelBinding,HttpBindingBehaviorAttribute,0,0,0,0,0,0
System.Web.Http.SelfHost.Channels,HttpBindingSecurity,0,0,0,0,0,0
System.Web.Http.SelfHost.Channels,HttpBindingSecurityMode,0,0,0,0,0,0
System.Web.Http.SelfHost.Channels,HttpBindingSecurityModeHelper,0,0,0,0,0,0
System.Web.Http,HttpBindNeverAttribute,0,0,0,0,0,0
System.Web.Http,HttpBindRequiredAttribute,0,0,0,0,0,0
System.Web.Http.SelfHost.ServiceModel,HttpClientCredentialTypeHelper,0,0,0,0,0,0
System.Net.Http,HttpClientFactory,0,0,0,0,0,0
System.Web.Http,HttpConfigurationTracingExtensions,0,0,0,0,0,0
System.Net.Http,HttpContentExtensions,0,0,0,0,0,0
System.Net.Http,HttpContentFormDataExtensions,0,0,0,0,0,0
System.Net.Http,HttpContentMultipartExtensions,0,0,0,0,0,0
System.Net.Http,HttpContentMultipartExtensions.MultipartAsyncContext,0,0,0,0,0,0
System.Web.Http.WebHost.Routing,HttpContextBaseExtensions,0,0,0,0,0,0
System.Web.WebPages,HttpContextExtensions,0,0,0,0,0,0
System.Web.Http.Tracing.Tracers,HttpControllerActivatorTracer,0,0,0,0,0,0
System.Web.Http.Controllers,HttpControllerContext,0,0,0,0,0,0
System.Web.Http.Controllers,HttpControllerDescriptor,0,0,0,0,0,0
System.Web.Http.Controllers,HttpControllerDescriptorExtensions,0,0,0,0,0,0
System.Web.Http.Tracing.Tracers,HttpControllerDescriptorTracer,0,0,0,0,0,0
System.Web.Http.Dispatcher,HttpControllerDispatcher,0,0,0,0,0,0
System.Web.Http.WebHost,HttpControllerHandler.DelegatingStreamContent,0,0,0,0,0,0
System.Web.Http.WebHost,HttpControllerHandler.LazyStreamContent,0,0,0,0,0,0
System.Web.Http.WebHost,HttpControllerRouteHandler,0,0,0,0,0,0
System.Web.Http.Tracing.Tracers,HttpControllerSelectorTracer,0,0,0,0,0,0
System.Web.Http.Controllers,HttpControllerSettings,0,0,0,0,0,0
System.Web.Http.Tracing.Tracers,HttpControllerTracer,0,0,0,0,0,0
System.Web.Http.Dispatcher,HttpControllerTypeCache,0,0,0,0,0,0
System.Web.Http.WebHost,HttpControllerTypeCacheSerializer,0,0,0,0,0,0
System.Web.Http,HttpDeleteAttribute,0,0,0,0,0,0
System.Web.Http,HttpError,0,0,0,0,0,0
System.Web.Http,HttpErrorKeys,0,0,0,0,0,0
System.Web.Mvc,HttpFileCollectionValueProvider,0,0,0,0,0,0
System.Web.Mvc,HttpFileCollectionValueProviderFactory,0,0,0,0,0,0
System.Web.Http.Filters,HttpFilterCollection,0,0,0,0,0,0
System.Web.Http,HttpGetAttribute,0,0,0,0,0,0
System.Web.Mvc,HttpHandlerUtil,0,0,0,0,0,0
System.Web.Http,HttpHeadAttribute,0,0,0,0,0,0
System.Net.Http,HttpHeaderExtensions,0,0,0,0,0,0
System.Web.Http.SelfHost.Channels,HttpMessageEncoderFactory,0,0,0,0,0,0
System.Web.Http.SelfHost.Channels,HttpMessageEncoderFactory.HttpMessageEncoder,0,0,0,0,0,0
System.Web.Http.SelfHost.Channels,HttpMessageEncoderFactory.HttpMessageEncoder.ByteArrayBufferManagerContent,0,0,0,0,0,0
System.Web.Http.SelfHost.Channels,HttpMessageEncodingBindingElement,0,0,0,0,0,0
System.Web.Http.SelfHost.Channels,HttpMessageExtensions,0,0,0,0,0,0
System.Web.Http.Owin,HttpMessageHandlerOptions,0,0,0,0,0,0
System.Web.Http.Routing,HttpMethodConstraint,0,0,0,0,0,0
System.Web.Http,HttpMethodHelper,0,0,0,0,0,0
System.Web.Mvc,HttpNotFoundResult,0,0,0,0,0,0
System.Web.Http,HttpOptionsAttribute,0,0,0,0,0,0
System.Web.Http.Controllers,HttpParameterBinding,0,0,0,0,0,0
System.Web.Http.Internal,HttpParameterBindingExtensions,0,0,0,0,0,0
System.Web.Http.Tracing.Tracers,HttpParameterBindingTracer,0,0,0,0,0,0
System.Web.Http.Controllers,HttpParameterDescriptor,0,0,0,0,0,0
System.Web.Http.Controllers,HttpParameterDescriptor.AmbiguousParameterBindingAttribute,0,0,0,0,0,0
System.Web.Http,HttpPatchAttribute,0,0,0,0,0,0
System.Web.Http,HttpPostAttribute,0,0,0,0,0,0
System.Web.Mvc,HttpPostedFileBaseModelBinder,0,0,0,0,0,0
System.Net.Http.Handlers,HttpProgressEventArgs,0,0,0,0,0,0
System.Web.Http.Hosting,HttpPropertyKeys,0,0,0,0,0,0
System.Web.Http.SelfHost.ServiceModel,HttpProxyCredentialTypeHelper,0,0,0,0,0,0
System.Web.Http,HttpPutAttribute,0,0,0,0,0,0
Microsoft.Web.Mvc.Resources,HttpRequestBaseExtensions,0,0,0,0,0,0
System.Web.Http.Controllers,HttpRequestContext,0,0,0,0,0,0
System.Web.Mvc,HttpRequestExtensions,0,0,0,0,0,0
System.Net.Http.Formatting.Parsers,HttpRequestHeaderParser,0,0,0,0,0,0
System.Net.Http.Formatting.Parsers,HttpRequestHeaderParser.HttpRequestState,0,0,0,0,0,0
System.Net.Http,HttpRequestHeadersExtensions,0,0,0,0,0,0
System.Net.Http.Formatting.Parsers,HttpRequestLineParser.HttpRequestLineState,0,0,0,0,0,0
System.Web.Http.WebHost.Routing,HttpRequestMessageContextWrapper,0,0,0,0,0,0
System.Web.Http.WebHost.Routing,HttpRequestMessageWrapper,0,0,0,0,0,0
System.Web.Http.ModelBinding,HttpRequestParameterBinding,0,0,0,0,0,0
System.Web.Http.WebHost,HttpResponseBaseExtensions,0,0,0,0,0,0
System.Web.Http,HttpResponseException,0,0,0,0,0,0
System.Net.Http.Formatting.Parsers,HttpResponseHeaderParser,0,0,0,0,0,0
System.Net.Http.Formatting.Parsers,HttpResponseHeaderParser.HttpResponseState,0,0,0,0,0,0
System.Net.Http,HttpResponseHeadersExtensions,0,0,0,0,0,0
System.Net.Http,HttpResponseMessageExtensions,0,0,0,0,0,0
System.Web.Http,HttpRouteCollectionExtensions,0,0,0,0,0,0
System.Web.Http,HttpRouteCollectionExtensions.IgnoreHttpRouteInternal,0,0,0,0,0,0
System.Web.Http.Routing,HttpRouteData,0,0,0,0,0,0
System.Web.Http.Routing,HttpRouteDataExtensions,0,0,0,0,0,0
System.Web.Http.Routing,HttpRouteDirection,0,0,0,0,0,0
System.Web.Http.WebHost.Routing,HttpRouteExceptionHandler,0,0,0,0,0,0
System.Web.Http.WebHost.Routing,HttpRouteExceptionRouteHandler,0,0,0,0,0,0
System.Web.Http.Routing,HttpRouteExtensions,0,0,0,0,0,0
System.Web.Http.Routing,HttpRouteValueDictionary,0,0,0,0,0,0
System.Web.Http.Dispatcher,HttpRoutingDispatcher,0,0,0,0,0,0
System.Web.Http.SelfHost,HttpSelfHostServer.ChannelContext,0,0,0,0,0,0
System.Web.Http.SelfHost,HttpSelfHostServer.ReplyContext,0,0,0,0,0,0
System.Web.Http,HttpServer,0,0,0,0,0,0
System.Web.Mvc,HttpStatusCodeResult,0,0,0,0,0,0
System.Net.Http.Formatting.Parsers,HttpStatusLineParser.HttpStatusLineState,0,0,0,0,0,0
System.Web.Http.SelfHost.ServiceModel.Channels,HttpTransportDefaults,0,0,0,0,0,0
System.Web.Http.SelfHost.ServiceModel,HttpTransportSecurityExtensionMethods,0,0,0,0,0,0
System.Web.Mvc,HttpUnauthorizedResult,0,0,0,0,0,0
System.Net.Http,HttpUnsortedHeaders,0,0,0,0,0,0
System.Net.Http,HttpUnsortedRequest,0,0,0,0,0,0
System.Net.Http,HttpUnsortedResponse,0,0,0,0,0,0
System.Net.Http.Formatting.Internal,HttpValueCollection,0,0,0,0,0,0
System.Web.Mvc,HttpVerbs,0,0,0,0,0,0
System.Web.Http.Routing,HttpVirtualPathData,0,0,0,0,0,0
System.Web.Http,HubController,0,0,0,0,0,0
System.Web.Http,HubController<THub>,0,0,0,0,0,0
System.Web.Http,HubControllerBase,0,0,0,0,0,0
System.Web.Razor.Generator,HybridCodeGenerator,0,0,0,0,0,0
System.Web.Http.Filters,IActionFilter,0,0,0,0,0,0
System.Web.Http.Controllers,IActionHttpMethodProvider,0,0,0,0,0,0
System.Web.Mvc,IActionInvoker,0,0,0,0,0,0
System.Web.Mvc,IActionInvokerFactory,0,0,0,0,0,0
System.Web.Http.Controllers,IActionResultConverter,0,0,0,0,0,0
System.Web.Http.Controllers,IActionValueBinder,0,0,0,0,0,0
System.Web.Helpers,IAntiForgeryAdditionalDataProvider,0,0,0,0,0,0
System.Web.Helpers.AntiXsrf,IAntiForgeryConfig,0,0,0,0,0,0
System.Web.Helpers.AntiXsrf,IAntiForgeryTokenSerializer,0,0,0,0,0,0
System.Web.Http.Description,IApiExplorer,0,0,0,0,0,0
System.Web.Http.Dispatcher,IAssembliesResolver,0,0,0,0,0,0
System.Web.WebPages.Razor,IAssemblyBuilder,0,0,0,0,0,0
System.Web.Mvc.Async,IAsyncActionInvoker,0,0,0,0,0,0
System.Web.Mvc.Async,IAsyncActionInvokerFactory,0,0,0,0,0,0
System.Web.Mvc.Async,IAsyncController,0,0,0,0,0,0
System.Web.Mvc.Async,IAsyncManagerContainer,0,0,0,0,0,0
System.Web.Http.Filters,IAuthenticationFilter,0,0,0,0,0,0
System.Web.Http.Filters,IAuthorizationFilter,0,0,0,0,0,0
System.Web.Razor.Generator,IBlockCodeGenerator,0,0,0,0,0,0
System.Web.Http.Validation,IBodyModelValidator,0,0,0,0,0,0
System.Web.Mvc,IBuildManager,0,0,0,0,0,0
System.Web.Http.SelfHost.ServiceModel.Channels,IChannelAcceptor<TChannel>,0,0,0,0,0,0
System.Web.Helpers.AntiXsrf,IClaimUidExtractor,0,0,0,0,0,0
System.Web.Mvc,IClientValidatable,0,0,0,0,0,0
WebMatrix.Data,IConfigurationManager,0,0,0,0,0,0
WebMatrix.Data,IConnectionConfiguration,0,0,0,0,0,0
System.Net.Http.Formatting,IContentNegotiator,0,0,0,0,0,0
System.Web.Mvc,IController,0,0,0,0,0,0
System.Web.Mvc,IControllerActivator,0,0,0,0,0,0
System.Web.Http.Controllers,IControllerConfiguration,0,0,0,0,0,0
System.Web.Mvc,IControllerFactory,0,0,0,0,0,0
System.Web.Cors,ICorsEngine,0,0,0,0,0,0
System.Web.Http.Cors,ICorsPolicyProvider,0,0,0,0,0,0
System.Web.Http.Cors,ICorsPolicyProviderFactory,0,0,0,0,0,0
System.Web.Helpers.AntiXsrf,ICryptoSystem,0,0,0,0,0,0
WebMatrix.WebData,IDatabase,0,0,0,0,0,0
WebMatrix.Data,IDbFileHandler,0,0,0,0,0,0
WebMatrix.Data,IDbProviderFactory,0,0,0,0,0,0
System.Web.Http.Services,IDecorator<T>,0,0,0,0,0,0
System.Web.Http.Dependencies,IDependencyResolver,0,0,0,0,0,0
System.Web.Http.Dependencies,IDependencyScope,0,0,0,0,0,0
System.Web.Http.Routing,IDirectRouteFactory,0,0,0,0,0,0
System.Web.Http.Routing,IDirectRouteProvider,0,0,0,0,0,0
System.Web.WebPages,IDisplayMode,0,0,0,0,0,0
System.Web.Http.Description,IDocumentationProvider,0,0,0,0,0,0
Microsoft.Web.Mvc.Resources,IEnumerableExtensions,0,0,0,0,0,0
Microsoft.Web.Mvc.Resources,IEnumerableExtensions.IEnumerableWrapper<T>,0,0,0,0,0,0
System.Web.Http.ValueProviders,IEnumerableValueProvider,0,0,0,0,0,0
System.Web.Http.Filters,IExceptionFilter,0,0,0,0,0,0
System.Web.Http.ExceptionHandling,IExceptionHandler,0,0,0,0,0,0
System.Web.Http.ExceptionHandling,IExceptionLogger,0,0,0,0,0,0
Microsoft.Web.Mvc.ModelBinding,IExtensibleModelBinder,0,0,0,0,0,0
Microsoft.AspNet.Facebook.Providers,IFacebookClientProvider,0,0,0,0,0,0
Microsoft.AspNet.Facebook.Providers,IFacebookPermissionService,0,0,0,0,0,0
Microsoft.Internal.Web.Utils,IFileSystem,0,0,0,0,0,0
System.Web.Http.Filters,IFilter,0,0,0,0,0,0
System.Web.Http.Filters,IFilterProvider,0,0,0,0,0,0
System.Net.Http.Formatting,IFormatterLogger,0,0,0,0,0,0
System.Web.Http.Tracing,IFormatterTracer,0,0,0,0,0,0
System.Web.Http.Hosting,IHostBufferPolicySelector,0,0,0,0,0,0
System.Web.WebPages.Razor,IHostingEnvironment,0,0,0,0,0,0
System.Web.Http.Controllers,IHttpActionInvoker,0,0,0,0,0,0
System.Web.Http,IHttpActionResult,0,0,0,0,0,0
System.Web.Http.Controllers,IHttpActionSelector,0,0,0,0,0,0
System.Web.Http.Controllers,IHttpController,0,0,0,0,0,0
System.Web.Http.Dispatcher,IHttpControllerActivator,0,0,0,0,0,0
System.Web.Http.Dispatcher,IHttpControllerSelector,0,0,0,0,0,0
System.Web.Http.Dispatcher,IHttpControllerTypeResolver,0,0,0,0,0,0
System.Web.Http.Routing,IHttpRoute,0,0,0,0,0,0
System.Web.Http.Routing,IHttpRouteConstraint,0,0,0,0,0,0
System.Web.Http.Routing,IHttpRouteData,0,0,0,0,0,0
System.Web.Http.Routing,IHttpRouteInfoProvider,0,0,0,0,0,0
System.Web.Http.Routing,IHttpVirtualPathData,0,0,0,0,0,0
System.Web.Http.Routing,IInlineConstraintResolver,0,0,0,0,0,0
Microsoft.Web.Mvc,IMachineKey,0,0,0,0,0,0
Microsoft.Web.Mvc,ImageExtensions,0,0,0,0,0,0
ROOT_PROJECT_NAMESPACE.Areas.HelpPage,ImageSample,0,0,0,0,0,0
System.Web.Mvc,IMetadataAware,0,0,0,0,0,0
System.Web.Mvc,IMethodInfoActionDescriptor,0,0,0,0,0,0
System.Web.Http.ModelBinding,IModelBinder,0,0,0,0,0,0
System.Web.Mvc,IModelBinderProvider,0,0,0,0,0,0
ROOT_PROJECT_NAMESPACE.Areas.HelpPage.ModelDescriptions,IModelDocumentationProvider,0,0,0,0,0,0
System.Web.Http.Validation,IModelValidatorCache,0,0,0,0,0,0
System.Web.Mvc,IMvcControlBuilder,0,0,0,0,0,0
System.Web.Mvc,IMvcFilter,0,0,0,0,0,0
System.Web.Http,IncludeErrorDetailPolicy,0,0,0,0,0,0
Microsoft.Web.Mvc.ExpressionUtil,IndexExpressionFingerprint,0,0,0,0,0,0
System.Web.Mvc,InputType,0,0,0,0,0,0
System.Web.Mvc.Ajax,InsertionMode,0,0,0,0,0,0
System.Web.WebPages.Instrumentation,InstrumentationService,0,0,0,0,0,0
System.Web.Http.Results,InternalServerErrorResult,0,0,0,0,0,0
System.Net.Http.Formatting.Parsers,InternetMessageFormatHeaderParser.CurrentHeaderFieldStore,0,0,0,0,0,0
System.Net.Http.Formatting.Parsers,InternetMessageFormatHeaderParser.HeaderFieldState,0,0,0,0,0,0
System.Web.Http.Routing.Constraints,IntRouteConstraint,0,0,0,0,0,0
System.Net.Http,InvalidByteRangeException,0,0,0,0,0,0
System.Web.Http.Results,InvalidModelStateResult,0,0,0,0,0,0
System.Web.Http.Validation.Providers,InvalidModelValidatorProvider,0,0,0,0,0,0
ROOT_PROJECT_NAMESPACE.Areas.HelpPage,InvalidSample,0,0,0,0,0,0
System.Web.Http.Filters,IOverrideFilter,0,0,0,0,0,0
System.Web.WebPages.Administration.PackageManager,IPackagesSourceFile,0,0,0,0,0,0
Microsoft.Web.Mvc.Resources,IRequestFormatHandler,0,0,0,0,0,0
System.Net.Http.Formatting,IRequiredMemberSelector,0,0,0,0,0,0
System.Web.Mvc,IResolver<T>,0,0,0,0,0,0
System.Web.WebPages.ApplicationParts,IResourceAssembly,0,0,0,0,0,0
Microsoft.Web.Mvc.Resources,IResponseFormatHandler,0,0,0,0,0,0
System.Web.Mvc,IResultFilter,0,0,0,0,0,0
System.Web.Mvc.Routing,IRouteInfoProvider,0,0,0,0,0,0
System.Web.Http.Routing,IRoutePrefix,0,0,0,0,0,0
System.Web.Mvc,IRouteWithArea,0,0,0,0,0,0
System.Web.WebPages.Scope,IScopeStorageProvider,0,0,0,0,0,0
System.Web.Razor.Generator,ISpanCodeGenerator,0,0,0,0,0,0
System.Web.Razor.Tokenizer.Symbols,ISymbol,0,0,0,0,0,0
System.Web.Razor.Parser,ISyntaxTreeRewriter,0,0,0,0,0,0
System.Web.Mvc,ITempDataProvider,0,0,0,0,0,0
System.Web.Mvc,ITempDataProviderFactory,0,0,0,0,0,0
System.Web.WebPages,ITemplateFile,0,0,0,0,0,0
System.Web.Razor.Text,ITextBuffer,0,0,0,0,0,0
System.Web.Razor.Text,ITextDocument,0,0,0,0,0,0
System.Web.Razor.Tokenizer,ITokenizer,0,0,0,0,0,0
System.Web.Helpers.AntiXsrf,ITokenStore,0,0,0,0,0,0
System.Web.Helpers.AntiXsrf,ITokenValidator,0,0,0,0,0,0
System.Web.Http.Tracing,ITraceManager,0,0,0,0,0,0
System.Web.Http.Tracing,ITraceWriter,0,0,0,0,0,0
System.Web.Mvc,IUniquelyIdentifiable,0,0,0,0,0,0
System.Web.Mvc,IUnvalidatedRequestValues,0,0,0,0,0,0
System.Web.Mvc,IUnvalidatedValueProvider,0,0,0,0,0,0
System.Web.Http.ValueProviders,IUriValueProviderFactory,0,0,0,0,0,0
System.Web.WebPages,IValidator,0,0,0,0,0,0
System.Web.Http.ValueProviders,IValueProvider,0,0,0,0,0,0
System.Web.Http.ModelBinding,IValueProviderParameterBinding,0,0,0,0,0,0
System.Web.Mvc,IView,0,0,0,0,0,0
System.Web.Mvc,IViewDataContainer,0,0,0,0,0,0
System.Web.Mvc,IViewEngine,0,0,0,0,0,0
System.Web.Mvc,IViewLocationCache,0,0,0,0,0,0
System.Web.Mvc,IViewPageActivator,0,0,0,0,0,0
System.Web.Mvc,IViewStartPageChild,0,0,0,0,0,0
System.Web.WebPages,IVirtualPathFactory,0,0,0,0,0,0
Microsoft.Internal.Web.Utils,IVirtualPathUtility,0,0,0,0,0,0
System.Web.Helpers,IWebGridDataSource,0,0,0,0,0,0
System.Web.WebPages,IWebPageRequestExecutor,0,0,0,0,0,0
System.Web.WebPages.Administration.PackageManager,IWebProjectManager,0,0,0,0,0,0
Microsoft.AspNet.Facebook,JavaScriptRedirectResult,0,0,0,0,0,0
System.Web.Mvc,JavaScriptResult,0,0,0,0,0,0
System.Web.Mvc,JQueryFormValueProvider,0,0,0,0,0,0
System.Web.Mvc,JQueryFormValueProviderFactory,0,0,0,0,0,0
System.Web.Http.ModelBinding,JQueryMvcFormUrlEncodedFormatter,0,0,0,0,0,0
System.Web.Helpers,Json,0,0,0,0,0,0
System.Net.Http.Formatting,JsonContractResolver,0,0,0,0,0,0
Microsoft.Web.Mvc.Resources,JsonFormatHandler,0,0,0,0,0,0
System.Web.Mvc,JsonRequestBehavior,0,0,0,0,0,0
System.Web.Mvc,JsonResult,0,0,0,0,0,0
System.Web.Http.Results,JsonResult<T>,0,0,0,0,0,0
System.Web.Mvc,JsonValueProviderFactory,0,0,0,0,0,0
System.Web.Mvc,JsonValueProviderFactory.EntryLimitedDictionary,0,0,0,0,0,0
 ,Justifications,0,0,0,0,0,0
Microsoft.Web.Mvc.ModelBinding,"KeyValuePairModelBinder<TKey, TValue>",0,0,0,0,0,0
Microsoft.Web.Mvc.ModelBinding,KeyValuePairModelBinderProvider,0,0,0,0,0,0
Microsoft.Web.Mvc.ModelBinding,KeyValuePairModelBinderUtil,0,0,0,0,0,0
ROOT_PROJECT_NAMESPACE.Areas.HelpPage.ModelDescriptions,KeyValuePairModelDescription,0,0,0,0,0,0
System.Web.Razor.Tokenizer.Symbols,KnownSymbolType,0,0,0,0,0,0
Microsoft.Web.Mvc.Controls,Label,0,0,0,0,0,0
Microsoft.Web.Mvc.ExpressionUtil,LambdaExpressionFingerprint,0,0,0,0,0,0
System.Web.Razor.Parser,"LanguageCharacteristics<TTokenizer, TSymbol, TSymbolType>",0,0,0,0,0,0
System.Web.Http.ExceptionHandling,LastChanceExceptionHandler,0,0,0,0,0,0
System.Web.Http.SelfHost.ServiceModel.Channels,LayeredChannel<TInnerChannel>,0,0,0,0,0,0
System.Web.Http.SelfHost.ServiceModel.Channels,"LayeredChannelAcceptor<TChannel, TInnerChannel>",0,0,0,0,0,0
System.Web.Http.SelfHost.ServiceModel.Channels,LayeredChannelListener<TChannel>.CloseAsyncResult,0,0,0,0,0,0
System.Web.Http.SelfHost.ServiceModel.Channels,LayeredChannelListener<TChannel>.OpenAsyncResult,0,0,0,0,0,0
System.Web.WebPages.ApplicationParts,LazyAction,0,0,0,0,0,0
System.Web.Http.Routing.Constraints,LengthRouteConstraint,0,0,0,0,0,0
System.Web.Razor.Text,LineTrackingStringBuffer,0,0,0,0,0,0
System.Web.Razor.Text,LineTrackingStringBuffer.CharacterReference,0,0,0,0,0,0
System.Web.Razor.Text,LineTrackingStringBuffer.TextLine,0,0,0,0,0,0
Microsoft.Web.Mvc,LinkBuilder,0,0,0,0,0,0
System.Web.Http.Routing,LinkGenerationRoute,0,0,0,0,0,0
Microsoft.Web.Helpers,LinkShareSite,0,0,0,0,0,0
System.Web.Mvc,LinqBinaryModelBinder,0,0,0,0,0,0
System.Collections.ObjectModel,ListWrapperCollection<T>,0,0,0,0,0,0
System.Web.Razor.Text,LocationTagged<T>,0,0,0,0,0,0
System.Web.Http.Routing.Constraints,LongRouteConstraint,0,0,0,0,0,0
System.Web.Razor.Text,LookaheadTextReader,0,0,0,0,0,0
System.Web.Razor.Text,LookaheadToken,0,0,0,0,0,0
System.Web.Helpers.AntiXsrf,MachineKey45CryptoSystem,0,0,0,0,0,0
Microsoft.Web.Mvc,MachineKeyWrapper,0,0,0,0,0,0
Microsoft.Web.Mvc,MailToExtensions,0,0,0,0,0,0
System.Web.Razor.Generator,MarkupCodeGenerator,0,0,0,0,0,0
System.Web.Razor.Parser,MarkupCollapser,0,0,0,0,0,0
System.Web.Razor.Parser,MarkupRewriter,0,0,0,0,0,0
System.Web.Http.Routing.Constraints,MaxLengthRouteConstraint,0,0,0,0,0,0
System.Web.Http.Routing.Constraints,MaxRouteConstraint,0,0,0,0,0,0
System.Net.Http.Formatting,MediaTypeConstants,0,0,0,0,0,0
System.Net.Http.Formatting,MediaTypeFormatter.MediaTypeHeaderValueCollection,0,0,0,0,0,0
System.Net.Http.Formatting,MediaTypeFormatterExtensions,0,0,0,0,0,0
System.Net.Http.Formatting,MediaTypeFormatterMatch,0,0,0,0,0,0
System.Net.Http.Formatting,MediaTypeFormatterMatchRanking,0,0,0,0,0,0
System.Net.Http.Formatting,MediaTypeHeaderValueExtensions,0,0,0,0,0,0
System.Net.Http.Formatting,MediaTypeHeaderValueRange,0,0,0,0,0,0
System.Net.Http.Formatting,MediaTypeMapping,0,0,0,0,0,0
System.Net.Http.Formatting,MediaTypeWithQualityHeaderValueComparer,0,0,0,0,0,0
Microsoft.Web.Mvc.ExpressionUtil,MemberExpressionFingerprint,0,0,0,0,0,0
System.Web.Http.Internal,MemberInfoExtensions,0,0,0,0,0,0
System.Web.Http.Tracing.Tracers,MessageHandlerTracer,0,0,0,0,0,0
Microsoft.Web.Mvc.ExpressionUtil,MethodCallExpressionFingerprint,0,0,0,0,0,0
System.Net.Http,MimeBodyPart,0,0,0,0,0,0
Microsoft.Internal.Web.Utils,MimeMapping,0,0,0,0,0,0
