Namespace,Type,CyclomaticComplexity,DepthOfInheritance,ClassCoupling,LinesOfCode,NumberOfMethods,Toxicity
System.Web.Razor.Parser.SyntaxTree,Span,0,0,0,0,2,2
System.Web.Razor.Editor,SpanEditHandler,0,0,0,0,2,2
System.Web.Mvc.Async,SynchronousOperationException,0,2,0,0,0,2
System.Threading.Tasks,TaskHelpersExtensions,0,0,0,0,2,2
System.Web.Razor.Text,TextChange,0,0,0,0,2,2
System.Web.Mvc,ValueProviderDictionary,0,0,0,0,2,2
System.Web.Mvc,ViewMasterPage,0,2,0,0,0,2
System.Web.Mvc,ViewPage<TModel>,0,2,0,0,0,2
System.Web.Mvc,ViewPageControlBuilder,0,2,0,0,0,2
System.Web.Mvc,ViewUserControl.ViewUserControlContainerPage,0,2,0,0,0,2
System.Web.Mvc,ViewUserControl<TModel>,0,2,0,0,0,2
System.Web.Mvc,ViewUserControlControlBuilder,0,2,0,0,0,2
System.Web.WebPages,WebPageHttpHandler,0,0,2,0,0,2
System.Web.WebPages,WebPageRenderingBase,0,0,0,0,2,2
System.Web.Mvc,WebViewPage,0,1,0,0,1,2
System.Web.Mvc,WebViewPage<TModel>,0,2,0,0,0,2
Microsoft.Web.Mvc,AcceptAttribute,0,1,0,0,0,1
System.Web.Http.Tracing.Tracers,ActionFilterAttributeTracer,0,1,0,0,0,1
System.Web.Mvc,ActionMethodSelectorBase,0,0,0,0,1,1
System.Web.Http.Metadata.Providers,AssociatedMetadataProvider<TModelMetadata>,0,0,1,0,0,1
Microsoft.Web.Mvc,AsyncManagerExtensions,0,0,0,1,0,1
System.Web.Mvc,AsyncTimeoutAttribute,0,1,0,0,0,1
System.Web.Http.Cors,AttributeBasedPolicyProviderFactory,0,0,1,0,0,1
System.Web.Http.Tracing.Tracers,AuthorizationFilterAttributeTracer,0,1,0,0,0,1
System.Net.Http.Formatting,BaseJsonMediaTypeFormatter,0,0,1,0,0,1
System.Web.Razor.Parser.SyntaxTree,Block,0,0,0,0,1,1
System.Web.Razor.Text,BufferingTextReader,0,1,0,0,0,1
System.Web.Http.SelfHost.ServiceModel.Channels,BufferManagerOutputStream,0,1,0,0,0,1
