Method,LOC,NP,v(G)
"org.jboss.as.appclient.logging.AppClientLogger.cannotStartAppClient(String)",n/a,1,n/a
"org.jboss.as.appclient.logging.AppClientLogger.cannotStartAppClient(String,Class<?>)",n/a,2,n/a
"org.jboss.as.appclient.logging.AppClientLogger.caughtException(Throwable,Throwable)",n/a,2,n/a
"org.jboss.as.appclient.logging.AppClientLogger.couldNotCreateCallbackHandler(String)",n/a,1,n/a
"org.jboss.as.appclient.logging.AppClientLogger.couldNotLoadCallbackClass(String)",n/a,1,n/a
"org.jboss.as.appclient.logging.AppClientLogger.duplicateSubsystemDeclaration(Location)",n/a,1,n/a
"org.jboss.as.appclient.logging.AppClientLogger.elementAlreadyDeclared(String,Object,Location)",n/a,3,n/a
"org.jboss.as.appclient.logging.AppClientLogger.exceptionClosingConnection(Throwable)",n/a,1,n/a
"org.jboss.as.appclient.logging.AppClientLogger.exceptionLoadingEjbClientPropertiesURL(String,Throwable)",n/a,2,n/a
"org.jboss.as.appclient.logging.AppClientLogger.exceptionRunningAppClient(Throwable,String)",n/a,2,n/a
"org.jboss.as.appclient.logging.AppClientLogger.failedToParseXml(Throwable,VirtualFile)",n/a,2,n/a
"org.jboss.as.appclient.logging.AppClientLogger.failedToParseXml(Throwable,VirtualFile,int,int)",n/a,4,n/a
"org.jboss.as.appclient.logging.AppClientLogger.malformedUrl(String)",n/a,1,n/a
"org.jboss.as.appclient.logging.AppClientLogger.multipleAppClientsFound()",n/a,0,n/a
"org.jboss.as.appclient.logging.AppClientLogger.multipleNodesFound(String)",n/a,1,n/a
"org.jboss.as.appclient.logging.AppClientLogger.unknownOption(String)",n/a,1,n/a
"org.jboss.as.appclient.service.ApplicationClientDeploymentService.ApplicationClientDeploymentService(File)",3,1,1
"org.jboss.as.appclient.service.ApplicationClientDeploymentService.DeployTask.createContent()",7,0,1
"org.jboss.as.appclient.service.ApplicationClientDeploymentService.DeployTask.getCompositeUpdate(ModelNode...)",8,1,2
"org.jboss.as.appclient.service.ApplicationClientDeploymentService.DeployTask.getUpdate()",7,0,1
"org.jboss.as.appclient.service.ApplicationClientDeploymentService.DeploymentTask.DeploymentTask(Operation)",3,1,1
"org.jboss.as.appclient.service.ApplicationClientDeploymentService.DeploymentTask.run()",12,0,3
"org.jboss.as.appclient.service.ApplicationClientDeploymentService.getControllerValue()",3,0,1
"org.jboss.as.appclient.service.ApplicationClientDeploymentService.getDeploymentCompleteLatch()",3,0,1
"org.jboss.as.appclient.service.ApplicationClientDeploymentService.getValue()",4,0,1
"org.jboss.as.appclient.service.ApplicationClientDeploymentService.start(StartContext)",7,1,1
"org.jboss.as.appclient.service.ApplicationClientDeploymentService.stop(StopContext)",4,1,1
"org.jboss.as.appclient.service.ApplicationClientStartService.ApplicationClientStartService(Method,String[],InjectedEENamespaceContextSelector,ClassLoader,List<SetupAction>,EJBClientConfiguration)",8,6,1
"org.jboss.as.appclient.service.ApplicationClientStartService.ApplicationClientStartService(Method,String[],InjectedEENamespaceContextSelector,ClassLoader,List<SetupAction>,String,CallbackHandler)",8,7,1
