Method,LOC,NP,v(G)
"org.jboss.as.jpa.jbossjpaparser.JBossJPAParser.endOfDocument(Location)",3,1,1
"org.jboss.as.jpa.jbossjpaparser.JBossJPAParser.getAttributeValue(XMLStreamReader,String,String,PropertyReplacer)",3,4,1
"org.jboss.as.jpa.jbossjpaparser.JBossJPAParser.parser(XMLExtendedStreamReader,PropertyReplacer)",5,2,1
"org.jboss.as.jpa.jbossjpaparser.JBossJPAParser.readElement(XMLExtendedStreamReader,JPADeploymentSettings,PropertyReplacer)",34,3,10
"org.jboss.as.jpa.jbossjpaparser.JBossJPAParser.unexpectedContent(XMLStreamReader)",55,1,19
"org.jboss.as.jpa.management.DynamicManagementStatisticsResource.DynamicManagementStatisticsResource(Statistics,String,String,EntityManagerFactoryLookup)",11,4,1
"org.jboss.as.jpa.management.DynamicManagementStatisticsResource.clone()",4,0,1
"org.jboss.as.jpa.management.DynamicManagementStatisticsResource.getChild(PathElement)",17,1,5
"org.jboss.as.jpa.management.DynamicManagementStatisticsResource.getChildTypes()",13,0,2
"org.jboss.as.jpa.management.DynamicManagementStatisticsResource.getChildren(String)",20,1,4
"org.jboss.as.jpa.management.DynamicManagementStatisticsResource.getChildrenNames(String)",20,1,4
"org.jboss.as.jpa.management.DynamicManagementStatisticsResource.getModel()",4,0,1
"org.jboss.as.jpa.management.DynamicManagementStatisticsResource.getStatistics()",3,0,1
"org.jboss.as.jpa.management.DynamicManagementStatisticsResource.hasChild(PathElement)",17,1,4
"org.jboss.as.jpa.management.DynamicManagementStatisticsResource.hasChildren(String)",16,1,4
"org.jboss.as.jpa.management.DynamicManagementStatisticsResource.isModelDefined()",4,0,1
"org.jboss.as.jpa.management.DynamicManagementStatisticsResource.isProxy()",4,0,1
"org.jboss.as.jpa.management.DynamicManagementStatisticsResource.isRuntime()",4,0,1
"org.jboss.as.jpa.management.DynamicManagementStatisticsResource.navigate(PathAddress)",12,1,4
"org.jboss.as.jpa.management.DynamicManagementStatisticsResource.registerChild(PathElement,Resource)",14,2,3
"org.jboss.as.jpa.management.DynamicManagementStatisticsResource.removeChild(PathElement)",9,1,2
"org.jboss.as.jpa.management.DynamicManagementStatisticsResource.requireChild(PathElement)",19,1,5
"org.jboss.as.jpa.management.EntityManagerFactoryLookup.entityManagerFactory(String)",8,1,2
"org.jboss.as.jpa.management.ManagementResourceDefinition.AbstractMetricsHandler.executeRuntimeStep(OperationContext,ModelNode)",6,2,1
"org.jboss.as.jpa.management.ManagementResourceDefinition.AbstractMetricsHandler.handle(ModelNode,OperationContext,ModelNode)",n/a,3,n/a
"org.jboss.as.jpa.management.ManagementResourceDefinition.ManagementResourceDefinition(PathElement,ResourceDescriptionResolver,Statistics,EntityManagerFactoryLookup)",10,4,1
"org.jboss.as.jpa.management.ManagementResourceDefinition.getModelType(Class<?>)",15,1,5
"org.jboss.as.jpa.management.ManagementResourceDefinition.registerAttributes(ManagementResourceRegistration)",9,1,9
"org.jboss.as.jpa.management.ManagementResourceDefinition.registerChildren(ManagementResourceRegistration)",11,1,2
"org.jboss.as.jpa.management.ManagementResourceDefinition.registerOperations(ManagementResourceRegistration)",10,1,4
"org.jboss.as.jpa.management.ManagementResourceDefinition.setResponse(ModelNode,Object,ModelType)",14,3,4
"org.jboss.as.jpa.management.Path.Path(PathAddress)",5,1,2
"org.jboss.as.jpa.management.Path.getValue(String)",9,1,3
"org.jboss.as.jpa.management.Path.getValue(int)",4,1,1
"org.jboss.as.jpa.management.Path.path(PathAddress)",3,1,1
"org.jboss.as.jpa.management.Path.size()",4,0,1
"org.jboss.as.jpa.management.PathWrapper.PathWrapper(String)",3,1,1
"org.jboss.as.jpa.management.PathWrapper.getValue(String)",4,1,1
"org.jboss.as.jpa.management.PathWrapper.getValue(int)",4,1,1
"org.jboss.as.jpa.management.PathWrapper.path(String)",3,1,1
"org.jboss.as.jpa.management.PathWrapper.size()",4,0,1
"org.jboss.as.jpa.management.StatisticNameLookup.StatisticNameLookup(String)",3,1,1
"org.jboss.as.jpa.management.StatisticNameLookup.getName()",4,0,1
"org.jboss.as.jpa.management.StatisticNameLookup.statisticNameLookup(String)",3,1,1
"org.jboss.as.jpa.messages.JpaLogger.PersistenceUnitNotAvailable(String)",n/a,1,n/a
"org.jboss.as.jpa.messages.JpaLogger.badSynchronizationTypeCombination(String)",n/a,1,n/a
"org.jboss.as.jpa.messages.JpaLogger.cannotAddIntegration(Throwable,String)",n/a,2,n/a
"org.jboss.as.jpa.messages.JpaLogger.cannotCloseContainerManagedEntityManager()",n/a,0,n/a
"org.jboss.as.jpa.messages.JpaLogger.cannotCloseTransactionContainerEntityManger()",n/a,0,n/a
"org.jboss.as.jpa.messages.JpaLogger.cannotCreateAdapter(Throwable,String)",n/a,2,n/a
"org.jboss.as.jpa.messages.JpaLogger.cannotDeployApp(Throwable,String)",n/a,2,n/a
"org.jboss.as.jpa.messages.JpaLogger.cannotGetSessionFactory(Throwable)",n/a,1,n/a
"org.jboss.as.jpa.messages.JpaLogger.cannotInjectResourceLocalEntityManager()",n/a,0,n/a
"org.jboss.as.jpa.messages.JpaLogger.cannotLoadFromJpa(Throwable,String)",n/a,2,n/a
"org.jboss.as.jpa.messages.JpaLogger.cannotLoadModule(Throwable,ModuleIdentifier,String)",n/a,3,n/a
"org.jboss.as.jpa.messages.JpaLogger.cannotLoadPersistenceProviderModule(Throwable,String,String)",n/a,3,n/a
"org.jboss.as.jpa.messages.JpaLogger.cannotReplaceStack()",n/a,0,n/a
"org.jboss.as.jpa.messages.JpaLogger.cannotSpecifyBoth(String,Object,String,Object,String,Object)",n/a,6,n/a
"org.jboss.as.jpa.messages.JpaLogger.cannotUseExtendedPersistenceTransaction(String,EntityManager,EntityManager)",n/a,3,n/a
"org.jboss.as.jpa.messages.JpaLogger.childNotFound(String,VirtualFile)",n/a,2,n/a
"org.jboss.as.jpa.messages.JpaLogger.classLevelAnnotationParameterRequired(String,String,String)",n/a,3,n/a
"org.jboss.as.jpa.messages.JpaLogger.classloaderHasMultipleAdapters(String)",n/a,1,n/a
"org.jboss.as.jpa.messages.JpaLogger.couldNotCreateInstanceProvider(Throwable,String)",n/a,2,n/a
"org.jboss.as.jpa.messages.JpaLogger.differentSearchModuleDependencies(String,String,String)",n/a,3,n/a
"org.jboss.as.jpa.messages.JpaLogger.duplicatePersistenceUnitDefinition(String,String,String)",n/a,3,n/a
"org.jboss.as.jpa.messages.JpaLogger.errorGettingTransaction(Exception)",n/a,1,n/a
"org.jboss.as.jpa.messages.JpaLogger.errorGettingTransactionListenerRegistry(Throwable)",n/a,1,n/a
"org.jboss.as.jpa.messages.JpaLogger.errorPreloadingDefaultProvider(Throwable)",n/a,1,n/a
"org.jboss.as.jpa.messages.JpaLogger.failedToAddPersistenceUnit(Throwable,String)",n/a,2,n/a
"org.jboss.as.jpa.messages.JpaLogger.failedToGetAdapter(String)",n/a,1,n/a
"org.jboss.as.jpa.messages.JpaLogger.failedToGetModuleAttachment(DeploymentUnit)",n/a,1,n/a
"org.jboss.as.jpa.messages.JpaLogger.failedToParse(VirtualFile)",n/a,1,n/a
"org.jboss.as.jpa.messages.JpaLogger.failedToStopPUService(Throwable,String)",n/a,2,n/a
"org.jboss.as.jpa.messages.JpaLogger.hibernateOnlyEntityManagerFactory()",n/a,0,n/a
"org.jboss.as.jpa.messages.JpaLogger.invalidPersistenceUnitName(String,char)",n/a,2,n/a
"org.jboss.as.jpa.messages.JpaLogger.invalidScopedName(String,char)",n/a,2,n/a
"org.jboss.as.jpa.messages.JpaLogger.invalidUrlConnection(String,URLConnection)",n/a,2,n/a
"org.jboss.as.jpa.messages.JpaLogger.multipleAdapters(String)",n/a,1,n/a
"org.jboss.as.jpa.messages.JpaLogger.noPUnitNameSpecifiedAndMultiplePersistenceUnits(int,DeploymentUnit)",n/a,2,n/a
"org.jboss.as.jpa.messages.JpaLogger.nullParameter(String,String)",n/a,2,n/a
"org.jboss.as.jpa.messages.JpaLogger.persistenceProviderAdaptorModuleLoadError(Throwable,String)",n/a,2,n/a
"org.jboss.as.jpa.messages.JpaLogger.persistenceProviderNotFound(String)",n/a,1,n/a
"org.jboss.as.jpa.messages.JpaLogger.persistenceUnitNotFound(String,DeploymentUnit)",n/a,2,n/a
"org.jboss.as.jpa.messages.JpaLogger.persistenceUnitNotFound(String,String,DeploymentUnit)",n/a,3,n/a
"org.jboss.as.jpa.messages.JpaLogger.readingPersistenceXml(String)",n/a,1,n/a
"org.jboss.as.jpa.messages.JpaLogger.referenceCountedEntityManagerNegativeCount(int,String)",n/a,2,n/a
"org.jboss.as.jpa.messages.JpaLogger.relativePathNotFound(Throwable,String)",n/a,2,n/a
"org.jboss.as.jpa.messages.JpaLogger.resourcesOfTypeCannotBeRegistered(String)",n/a,1,n/a
"org.jboss.as.jpa.messages.JpaLogger.resourcesOfTypeCannotBeRemoved(String)",n/a,1,n/a
"org.jboss.as.jpa.messages.JpaLogger.setterMethodOnlyAnnotation(String,MethodInfo)",n/a,2,n/a
"org.jboss.as.jpa.messages.JpaLogger.startingPersistenceUnitService(int,String)",n/a,2,n/a
"org.jboss.as.jpa.messages.JpaLogger.startingService(String,String)",n/a,2,n/a
"org.jboss.as.jpa.messages.JpaLogger.stoppingPersistenceUnitService(int,String)",n/a,2,n/a
"org.jboss.as.jpa.messages.JpaLogger.stoppingService(String,String)",n/a,2,n/a
"org.jboss.as.jpa.messages.JpaLogger.transactionRequired()",n/a,0,n/a
"org.jboss.as.jpa.messages.JpaLogger.unexpectedStatisticsProblem(IllegalStateException)",n/a,1,n/a
"org.jboss.as.jpa.messages.JpaLogger.xpcOnlyFromSFSB(String)",n/a,1,n/a
"org.jboss.as.jpa.openjpa.JBossPersistenceMetaDataFactory.cleanup(PersistenceUnitMetadata)",5,1,1
"org.jboss.as.jpa.openjpa.JBossPersistenceMetaDataFactory.clearThreadLocalPersistenceUnitMetadata()",3,0,1
"org.jboss.as.jpa.openjpa.JBossPersistenceMetaDataFactory.findPersistenceTypeNames(PersistenceUnitMetadata)",23,1,5
"org.jboss.as.jpa.openjpa.JBossPersistenceMetaDataFactory.parsePersistentTypeNames(ClassLoader)",8,1,2
"org.jboss.as.jpa.openjpa.JBossPersistenceMetaDataFactory.setThreadLocalPersistenceUnitMetadata(PersistenceUnitMetadata)",3,1,1
"org.jboss.as.jpa.openjpa.OpenJPAPersistenceProviderAdaptor.addProviderDependencies(PersistenceUnitMetadata)",3,1,1
"org.jboss.as.jpa.openjpa.OpenJPAPersistenceProviderAdaptor.addProviderProperties(Map,PersistenceUnitMetadata)",13,2,4
"org.jboss.as.jpa.openjpa.OpenJPAPersistenceProviderAdaptor.afterCreateContainerEntityManagerFactory(PersistenceUnitMetadata)",4,1,1
"org.jboss.as.jpa.openjpa.OpenJPAPersistenceProviderAdaptor.beforeCreateContainerEntityManagerFactory(PersistenceUnitMetadata)",4,1,1
"org.jboss.as.jpa.openjpa.OpenJPAPersistenceProviderAdaptor.cleanup(PersistenceUnitMetadata)",4,1,1
"org.jboss.as.jpa.openjpa.OpenJPAPersistenceProviderAdaptor.doesScopedPersistenceUnitNameIdentifyCacheRegionName(PersistenceUnitMetadata)",4,1,1
"org.jboss.as.jpa.openjpa.OpenJPAPersistenceProviderAdaptor.getManagementAdaptor()",4,0,1
"org.jboss.as.jpa.openjpa.OpenJPAPersistenceProviderAdaptor.injectJtaManager(JtaManager)",3,1,1
"org.jboss.as.jpa.openjpa.OpenJPAPersistenceProviderAdaptor.injectPlatform(Platform)",3,1,1
"org.jboss.as.jpa.persistenceprovider.PersistenceProviderLoader.loadDefaultProvider()",9,0,1
"org.jboss.as.jpa.persistenceprovider.PersistenceProviderLoader.loadProviderFromDeployment(ClassLoader,String)",3,2,1
"org.jboss.as.jpa.persistenceprovider.PersistenceProviderLoader.loadProviderModuleByName(String)",25,1,3
"org.jboss.as.jpa.persistenceprovider.PersistenceProviderResolverImpl.PersistenceProviderResolverImpl()",2,0,1
"org.jboss.as.jpa.persistenceprovider.PersistenceProviderResolverImpl.addDeploymentSpecificPersistenceProvider(PersistenceProvider,Set<ClassLoader>)",21,2,3
"org.jboss.as.jpa.persistenceprovider.PersistenceProviderResolverImpl.addPersistenceProvider(PersistenceProvider)",3,1,1
"org.jboss.as.jpa.persistenceprovider.PersistenceProviderResolverImpl.clearCachedDeploymentSpecificProviders(Set<ClassLoader>)",12,1,2
"org.jboss.as.jpa.persistenceprovider.PersistenceProviderResolverImpl.clearCachedProviders()",4,0,1
"org.jboss.as.jpa.persistenceprovider.PersistenceProviderResolverImpl.findParentModuleCl(ClassLoader)",12,1,3
"org.jboss.as.jpa.persistenceprovider.PersistenceProviderResolverImpl.getInstance()",3,0,1
"org.jboss.as.jpa.persistenceprovider.PersistenceProviderResolverImpl.getPersistenceProviders()",46,0,9
"org.jboss.as.jpa.platform.PlatformImpl.PlatformImpl(Classification,Classification...)",10,2,3
"org.jboss.as.jpa.platform.PlatformImpl.cacheClassifications()",4,0,1
"org.jboss.as.jpa.platform.PlatformImpl.defaultCacheClassification()",4,0,1
"org.jboss.as.jpa.processor.CacheDeploymentHelper.register()",4,0,1
"org.jboss.as.jpa.processor.CacheDeploymentHelper.unregister()",6,0,2
"org.jboss.as.jpa.processor.HibernateSearchProcessor.addSearchDependency(ModuleSpecification,ModuleLoader,DeploymentUnit)",39,3,11
"org.jboss.as.jpa.processor.HibernateSearchProcessor.deploy(DeploymentPhaseContext)",8,1,2
"org.jboss.as.jpa.processor.HibernateSearchProcessor.undeploy(DeploymentUnit)",3,1,1
"org.jboss.as.jpa.processor.JPAAnnotationProcessor.bindClassSources(DeploymentUnit,AnnotationInstance,EEModuleClassDescription)",61,3,20
"org.jboss.as.jpa.processor.JPAAnnotationProcessor.deploy(DeploymentPhaseContext)",27,1,5
"org.jboss.as.jpa.processor.JPAAnnotationProcessor.getBindingSource(DeploymentUnit,AnnotationInstance,String,EEModuleClassDescription)",38,4,11
"org.jboss.as.jpa.processor.JPAAnnotationProcessor.getClassLevelInjectionType(AnnotationInstance)",10,1,2
"org.jboss.as.jpa.processor.JPAAnnotationProcessor.getPersistenceUnit(DeploymentUnit,AnnotationInstance,EEModuleClassDescription)",15,3,3
"org.jboss.as.jpa.processor.JPAAnnotationProcessor.getPuServiceName(String)",4,1,1
"org.jboss.as.jpa.processor.JPAAnnotationProcessor.isPersistenceContext(AnnotationInstance)",3,1,1
"org.jboss.as.jpa.processor.JPAAnnotationProcessor.isPersistenceContexts(AnnotationInstance)",3,1,1
"org.jboss.as.jpa.processor.JPAAnnotationProcessor.isPersistenceUnit(AnnotationInstance)",3,1,1
"org.jboss.as.jpa.processor.JPAAnnotationProcessor.isPersistenceUnits(AnnotationInstance)",3,1,1
"org.jboss.as.jpa.processor.JPAAnnotationProcessor.processClass(DeploymentUnit,AnnotationInstance,EEModuleClassDescription)",5,3,1
"org.jboss.as.jpa.processor.JPAAnnotationProcessor.processField(DeploymentUnit,AnnotationInstance,FieldInfo,EEModuleClassDescription)",28,4,7
"org.jboss.as.jpa.processor.JPAAnnotationProcessor.processMethod(DeploymentUnit,AnnotationInstance,MethodInfo,EEModuleClassDescription)",30,4,7
"org.jboss.as.jpa.processor.JPAAnnotationProcessor.processPersistenceAnnotations(DeploymentUnit,EEModuleDescription,List<AnnotationInstance>,EEApplicationClasses)",22,4,5
"org.jboss.as.jpa.processor.JPAAnnotationProcessor.undeploy(DeploymentUnit)",3,1,1
"org.jboss.as.jpa.processor.JPAClassFileTransformerProcessor.deploy(DeploymentPhaseContext)",7,1,1
"org.jboss.as.jpa.processor.JPAClassFileTransformerProcessor.setClassLoaderTransformer(DeploymentUnit)",18,1,6
"org.jboss.as.jpa.processor.JPAClassFileTransformerProcessor.undeploy(DeploymentUnit)",3,1,1
"org.jboss.as.jpa.processor.JPADependencyProcessor.addDependency(ModuleSpecification,ModuleLoader,DeploymentUnit,ModuleIdentifier...)",7,4,2
"org.jboss.as.jpa.processor.JPADependencyProcessor.addHibernate3AdaptorToDeployment(ModuleLoader,DeploymentUnit)",23,2,5
"org.jboss.as.jpa.processor.JPADependencyProcessor.addOptionalDependency(ModuleSpecification,ModuleLoader,DeploymentUnit,ModuleIdentifier...)",7,4,2
"org.jboss.as.jpa.processor.JPADependencyProcessor.addPUServiceDependencyToComponents(Collection<ComponentDescription>,PersistenceUnitMetadataHolder)",22,2,8
"org.jboss.as.jpa.processor.JPADependencyProcessor.addPersistenceProviderModuleDependencies(DeploymentPhaseContext,ModuleSpecification,ModuleLoader)",30,3,5
"org.jboss.as.jpa.processor.JPADependencyProcessor.deploy(DeploymentPhaseContext)",15,1,2
"org.jboss.as.jpa.processor.JPADependencyProcessor.loadPersistenceUnits(ModuleSpecification,ModuleLoader,DeploymentUnit,Set<String>,PersistenceUnitMetadataHolder)",42,5,8
"org.jboss.as.jpa.processor.JPADependencyProcessor.undeploy(DeploymentUnit)",3,1,1
"org.jboss.as.jpa.processor.JPAInterceptorProcessor.deploy(DeploymentPhaseContext)",11,1,3
"org.jboss.as.jpa.processor.JPAInterceptorProcessor.registerSessionBeanInterceptors(SessionBeanComponentDescription,DeploymentUnit)",5,2,4
"org.jboss.as.jpa.processor.JPAInterceptorProcessor.undeploy(DeploymentUnit)",3,1,1
"org.jboss.as.jpa.processor.JPAJarJBossAllParser.parse(XMLExtendedStreamReader,DeploymentUnit)",4,2,1
"org.jboss.as.jpa.processor.JpaAttachments.JpaAttachments()",2,0,1
"org.jboss.as.jpa.processor.PersistenceBeginInstallProcessor.PersistenceBeginInstallProcessor(Platform)",3,1,1
"org.jboss.as.jpa.processor.PersistenceBeginInstallProcessor.deploy(DeploymentPhaseContext)",9,1,1
"org.jboss.as.jpa.processor.PersistenceBeginInstallProcessor.undeploy(DeploymentUnit)",6,1,1
"org.jboss.as.jpa.processor.PersistenceCompleteInstallProcessor.PersistenceCompleteInstallProcessor(Platform)",3,1,1
"org.jboss.as.jpa.processor.PersistenceCompleteInstallProcessor.deploy(DeploymentPhaseContext)",10,1,2
"org.jboss.as.jpa.processor.PersistenceCompleteInstallProcessor.deploymentHasPersistenceProvider(DeploymentUnit)",5,1,3
"org.jboss.as.jpa.processor.PersistenceCompleteInstallProcessor.undeploy(DeploymentUnit)",4,1,1
"org.jboss.as.jpa.processor.PersistenceProviderAdaptorLoader.loadPersistenceAdapter(PersistenceProvider,Platform,JtaManagerImpl)",30,3,6
"org.jboss.as.jpa.processor.PersistenceProviderAdaptorLoader.loadPersistenceAdapterModule(String,Platform,JtaManagerImpl)",32,3,6
"org.jboss.as.jpa.processor.PersistenceProviderHandler.allDeploymentModuleClassLoaders(DeploymentUnit)",22,1,4
"org.jboss.as.jpa.processor.PersistenceProviderHandler.deploy(DeploymentPhaseContext,Platform)",46,2,10
"org.jboss.as.jpa.processor.PersistenceProviderHandler.finishDeploy(DeploymentPhaseContext)",12,1,4
"org.jboss.as.jpa.processor.PersistenceProviderHandler.undeploy(DeploymentUnit)",4,1,1
"org.jboss.as.jpa.processor.PersistenceRefProcessor.getPersistenceContextBindingSource(DeploymentUnit,String,PersistenceContextType,SynchronizationType,Map)",14,5,1
"org.jboss.as.jpa.processor.PersistenceRefProcessor.getPersistenceContextRefs(DeploymentUnit,DeploymentDescriptorEnvironment,ClassLoader,DeploymentReflectionIndex,ResourceInjectionTarget)",57,5,13
"org.jboss.as.jpa.processor.PersistenceRefProcessor.getPersistenceUnit(DeploymentUnit,String)",8,2,2
"org.jboss.as.jpa.processor.PersistenceRefProcessor.getPersistenceUnitBindingSource(DeploymentUnit,String)",16,2,3
"org.jboss.as.jpa.processor.PersistenceRefProcessor.getPersistenceUnitRefs(DeploymentUnit,DeploymentDescriptorEnvironment,ClassLoader,DeploymentReflectionIndex,ResourceInjectionTarget)",45,5,9
"org.jboss.as.jpa.processor.PersistenceRefProcessor.getPuServiceName(String)",4,1,1
"org.jboss.as.jpa.processor.PersistenceRefProcessor.isEmpty(String)",3,1,2
"org.jboss.as.jpa.processor.PersistenceRefProcessor.processDescriptorEntries(DeploymentUnit,DeploymentDescriptorEnvironment,ResourceInjectionTarget,ComponentDescription,ClassLoader,DeploymentReflectionIndex,EEApplicationClasses)",8,7,1
"org.jboss.as.jpa.processor.PersistenceUnitParseProcessor.PersistenceUnitParseProcessor(boolean)",3,1,1
"org.jboss.as.jpa.processor.PersistenceUnitParseProcessor.addApplicationDependenciesOnProvider(DeploymentUnit,PersistenceUnitMetadataHolder)",7,2,1
"org.jboss.as.jpa.processor.PersistenceUnitParseProcessor.createBeanName(DeploymentUnit,String)",13,2,3
"org.jboss.as.jpa.processor.PersistenceUnitParseProcessor.deploy(DeploymentPhaseContext)",8,1,1
"org.jboss.as.jpa.processor.PersistenceUnitParseProcessor.getPersistenceUnitURL(VirtualFile)",8,1,2
"org.jboss.as.jpa.processor.PersistenceUnitParseProcessor.getPersistenceUnitsInApplication(DeploymentUnit)",8,1,2
"org.jboss.as.jpa.processor.PersistenceUnitParseProcessor.getRelativeURL(VirtualFile,String)",18,2,5
"org.jboss.as.jpa.processor.PersistenceUnitParseProcessor.getScopedDeploymentUnitPath(DeploymentUnit)",24,1,5
"org.jboss.as.jpa.processor.PersistenceUnitParseProcessor.handleEarDeployment(DeploymentPhaseContext)",38,1,6
"org.jboss.as.jpa.processor.PersistenceUnitParseProcessor.handleJarDeployment(DeploymentPhaseContext)",21,1,5
"org.jboss.as.jpa.processor.PersistenceUnitParseProcessor.handleWarDeployment(DeploymentPhaseContext)",34,1,5
"org.jboss.as.jpa.processor.PersistenceUnitParseProcessor.incrementPersistenceUnitCount(DeploymentUnit,int)",9,2,1
"org.jboss.as.jpa.processor.PersistenceUnitParseProcessor.isEarDeployment(DeploymentUnit)",3,1,1
"org.jboss.as.jpa.processor.PersistenceUnitParseProcessor.isWarDeployment(DeploymentUnit)",3,1,1
"org.jboss.as.jpa.processor.PersistenceUnitParseProcessor.markDU(PersistenceUnitMetadataHolder,DeploymentUnit)",5,2,3
"org.jboss.as.jpa.processor.PersistenceUnitParseProcessor.normalize(List<PersistenceUnitMetadataHolder>)",27,1,4
"org.jboss.as.jpa.processor.PersistenceUnitParseProcessor.parse(VirtualFile,List<PersistenceUnitMetadataHolder>,DeploymentUnit)",29,3,6
"org.jboss.as.jpa.processor.PersistenceUnitParseProcessor.postParseSteps(VirtualFile,PersistenceUnitMetadataHolder,DeploymentUnit)",44,3,6
"org.jboss.as.jpa.processor.PersistenceUnitParseProcessor.undeploy(DeploymentUnit)",3,1,1
"org.jboss.as.jpa.processor.PersistenceUnitServiceHandler.ManagedReferenceFactoryInjector.ManagedReferenceFactoryInjector(Injector<DataSource>)",3,1,1
"org.jboss.as.jpa.processor.PersistenceUnitServiceHandler.ManagedReferenceFactoryInjector.inject(ManagedReferenceFactory)",5,1,1
"org.jboss.as.jpa.processor.PersistenceUnitServiceHandler.ManagedReferenceFactoryInjector.uninject()",6,0,1
"org.jboss.as.jpa.processor.PersistenceUnitServiceHandler.PersistenceAdaptorRemoval.PersistenceAdaptorRemoval(PersistenceUnitMetadata,PersistenceProviderAdaptor)",4,2,1
"org.jboss.as.jpa.processor.PersistenceUnitServiceHandler.PersistenceAdaptorRemoval.cleanup()",6,0,3
"org.jboss.as.jpa.processor.PersistenceUnitServiceHandler.PersistenceAdaptorRemoval.registerManagementConsoleChild(Resource,PathElement)",4,2,1
"org.jboss.as.jpa.processor.PersistenceUnitServiceHandler.addManagementConsole(DeploymentUnit,PersistenceUnitMetadata,PersistenceProviderAdaptor,PersistenceAdaptorRemoval)",42,4,3
"org.jboss.as.jpa.processor.PersistenceUnitServiceHandler.addPuService(DeploymentPhaseContext,ArrayList<PersistenceUnitMetadataHolder>,boolean,Platform)",71,4,13
"org.jboss.as.jpa.processor.PersistenceUnitServiceHandler.adjustJndi(String)",9,1,5
"org.jboss.as.jpa.processor.PersistenceUnitServiceHandler.beanManagerServiceName(DeploymentUnit)",3,1,1
"org.jboss.as.jpa.processor.PersistenceUnitServiceHandler.createManager(DeploymentUnit)",3,1,1
"org.jboss.as.jpa.processor.PersistenceUnitServiceHandler.deploy(DeploymentPhaseContext,boolean,Platform)",8,3,2
"org.jboss.as.jpa.processor.PersistenceUnitServiceHandler.deployPersistenceUnit(DeploymentPhaseContext,DeploymentUnit,EEModuleDescription,Collection<ComponentDescription>,ServiceTarget,ModuleClassLoader,PersistenceUnitMetadata,boolean,PersistenceProvider,PersistenceProviderAdaptor,boolean)",114,11,16
"org.jboss.as.jpa.processor.PersistenceUnitServiceHandler.deployPersistenceUnitPhaseOne(DeploymentPhaseContext,DeploymentUnit,EEModuleDescription,Collection<ComponentDescription>,ServiceTarget,ModuleClassLoader,PersistenceUnitMetadata,PersistenceProviderAdaptor)",92,8,14
"org.jboss.as.jpa.processor.PersistenceUnitServiceHandler.deployPersistenceUnitPhaseTwo(DeploymentPhaseContext,DeploymentUnit,EEModuleDescription,Collection<ComponentDescription>,ServiceTarget,ModuleClassLoader,PersistenceUnitMetadata,PersistenceProvider,PersistenceProviderAdaptor)",115,9,15
"org.jboss.as.jpa.processor.PersistenceUnitServiceHandler.entityManagerBind(EEModuleDescription,ServiceTarget,PersistenceUnitMetadata,ServiceName,TransactionManager,TransactionSynchronizationRegistry)",4,6,3
"org.jboss.as.jpa.processor.PersistenceUnitServiceHandler.entityManagerFactoryBind(EEModuleDescription,ServiceTarget,PersistenceUnitMetadata,ServiceName)",4,4,3
"org.jboss.as.jpa.processor.PersistenceUnitServiceHandler.getOrCreateResource(Resource,PathElement)",14,2,2
"org.jboss.as.jpa.processor.PersistenceUnitServiceHandler.getPerDeploymentSharedPersistenceProviderAdaptor(DeploymentUnit,String,PersistenceProvider)",20,3,4
"org.jboss.as.jpa.processor.PersistenceUnitServiceHandler.getPersistenceProviderAdaptor(PersistenceUnitMetadata,PersistenceProviderDeploymentHolder,DeploymentUnit,PersistenceProvider,Platform)",56,5,9
"org.jboss.as.jpa.processor.PersistenceUnitServiceHandler.getPersistenceProviderDeploymentHolder(DeploymentUnit)",4,1,1
"org.jboss.as.jpa.processor.PersistenceUnitServiceHandler.getProviderByName(PersistenceUnitMetadata)",3,1,1
"org.jboss.as.jpa.processor.PersistenceUnitServiceHandler.getProviderByName(PersistenceUnitMetadata,List<PersistenceProvider>)",13,2,6
"org.jboss.as.jpa.processor.PersistenceUnitServiceHandler.handleEarDeployment(DeploymentPhaseContext,boolean,Platform)",21,3,8
"org.jboss.as.jpa.processor.PersistenceUnitServiceHandler.handleJarDeployment(DeploymentPhaseContext,boolean,Platform)",16,3,7
"org.jboss.as.jpa.processor.PersistenceUnitServiceHandler.handleWarDeployment(DeploymentPhaseContext,boolean,Platform)",33,3,11
"org.jboss.as.jpa.processor.PersistenceUnitServiceHandler.isEarDeployment(DeploymentUnit)",3,1,1
"org.jboss.as.jpa.processor.PersistenceUnitServiceHandler.isWarDeployment(DeploymentUnit)",3,1,1
"org.jboss.as.jpa.processor.PersistenceUnitServiceHandler.lookupProvider(PersistenceUnitMetadata,PersistenceProviderDeploymentHolder,DeploymentUnit)",82,3,17
"org.jboss.as.jpa.processor.PersistenceUnitServiceHandler.nextPhaseDependsOnPersistenceUnit(DeploymentPhaseContext,Platform)",29,2,8
"org.jboss.as.jpa.processor.PersistenceUnitServiceHandler.savePerDeploymentSharedPersistenceProviderAdaptor(DeploymentUnit,String,PersistenceProviderAdaptor,PersistenceProvider)",31,4,4
"org.jboss.as.jpa.processor.PersistenceUnitServiceHandler.setAnnotationIndexes(PersistenceUnitMetadataHolder,DeploymentUnit)",29,2,6
"org.jboss.as.jpa.processor.PersistenceUnitServiceHandler.undeploy(DeploymentUnit)",9,1,3
"org.jboss.as.jpa.processor.secondLevelCache.CacheDeploymentListener.CacheDeploymentListener()",3,0,1
